restorer,detector,category,family,severity,anomaly_kind,image_id,label,score_clean,score_degraded,score_method
identity,padim,carpet,defocus,2,good,0,0,0.798045814037323,0.6848939657211304,0.6848939657211304
identity,padim,carpet,defocus,2,good,1,0,0.47389793395996094,0.6591085195541382,0.6591085195541382
identity,padim,carpet,defocus,2,good,2,0,0.5784173011779785,0.7193189263343811,0.7193189263343811
identity,padim,carpet,defocus,2,good,3,0,0.6443159580230713,0.8799768686294556,0.8799768686294556
identity,padim,carpet,defocus,2,good,4,0,0.7448416948318481,0.7806668877601624,0.7806668877601624
identity,padim,carpet,defocus,2,good,5,0,0.5055015087127686,0.6302808523178101,0.6302808523178101
identity,padim,carpet,defocus,2,good,6,0,0.8287522792816162,0.8269393444061279,0.8269393444061279
identity,padim,carpet,defocus,2,good,7,0,0.7726420164108276,0.6723968982696533,0.6723968982696533
identity,padim,carpet,defocus,2,color,8,1,1.0,1.0,1.0
identity,padim,carpet,defocus,2,color,9,1,1.0,1.0,1.0
identity,padim,carpet,defocus,2,color,10,1,1.0,1.0,1.0
identity,padim,carpet,defocus,2,color,11,1,1.0,1.0,1.0
identity,padim,carpet,defocus,2,color,12,1,1.0,1.0,1.0
identity,padim,carpet,defocus,2,color,13,1,1.0,1.0,1.0
identity,padim,carpet,defocus,2,color,14,1,0.6828001141548157,0.7010318636894226,0.7010318636894226
identity,padim,carpet,defocus,2,color,15,1,1.0,1.0,1.0
wiener,padim,carpet,defocus,2,good,0,0,0.798045814037323,0.6848939657211304,1.0
wiener,padim,carpet,defocus,2,good,1,0,0.47389793395996094,0.6591085195541382,1.0
wiener,padim,carpet,defocus,2,good,2,0,0.5784173011779785,0.7193189263343811,1.0
wiener,padim,carpet,defocus,2,good,3,0,0.6443159580230713,0.8799768686294556,1.0
wiener,padim,carpet,defocus,2,good,4,0,0.7448416948318481,0.7806668877601624,1.0
wiener,padim,carpet,defocus,2,good,5,0,0.5055015087127686,0.6302808523178101,1.0
wiener,padim,carpet,defocus,2,good,6,0,0.8287522792816162,0.8269393444061279,1.0
wiener,padim,carpet,defocus,2,good,7,0,0.7726420164108276,0.6723968982696533,1.0
wiener,padim,carpet,defocus,2,color,8,1,1.0,1.0,1.0
wiener,padim,carpet,defocus,2,color,9,1,1.0,1.0,1.0
wiener,padim,carpet,defocus,2,color,10,1,1.0,1.0,1.0
wiener,padim,carpet,defocus,2,color,11,1,1.0,1.0,1.0
wiener,padim,carpet,defocus,2,color,12,1,1.0,1.0,1.0
wiener,padim,carpet,defocus,2,color,13,1,1.0,1.0,1.0
wiener,padim,carpet,defocus,2,color,14,1,0.6828001141548157,0.7010318636894226,1.0
wiener,padim,carpet,defocus,2,color,15,1,1.0,1.0,1.0
restormer_deblur,padim,carpet,defocus,2,good,0,0,0.798045814037323,0.6848939657211304,0.6190226078033447
restormer_deblur,padim,carpet,defocus,2,good,1,0,0.47389793395996094,0.6591085195541382,0.5191699862480164
restormer_deblur,padim,carpet,defocus,2,good,2,0,0.5784173011779785,0.7193189263343811,0.6276350021362305
restormer_deblur,padim,carpet,defocus,2,good,3,0,0.6443159580230713,0.8799768686294556,0.8546109199523926
restormer_deblur,padim,carpet,defocus,2,good,4,0,0.7448416948318481,0.7806668877601624,0.738387405872345
restormer_deblur,padim,carpet,defocus,2,good,5,0,0.5055015087127686,0.6302808523178101,0.7147087454795837
restormer_deblur,padim,carpet,defocus,2,good,6,0,0.8287522792816162,0.8269393444061279,0.7846584320068359
restormer_deblur,padim,carpet,defocus,2,good,7,0,0.7726420164108276,0.6723968982696533,0.7329902052879333
restormer_deblur,padim,carpet,defocus,2,color,8,1,1.0,1.0,1.0
restormer_deblur,padim,carpet,defocus,2,color,9,1,1.0,1.0,1.0
restormer_deblur,padim,carpet,defocus,2,color,10,1,1.0,1.0,1.0
restormer_deblur,padim,carpet,defocus,2,color,11,1,1.0,1.0,1.0
restormer_deblur,padim,carpet,defocus,2,color,12,1,1.0,1.0,1.0
restormer_deblur,padim,carpet,defocus,2,color,13,1,1.0,1.0,1.0
restormer_deblur,padim,carpet,defocus,2,color,14,1,0.6828001141548157,0.7010318636894226,0.5831440091133118
restormer_deblur,padim,carpet,defocus,2,color,15,1,1.0,1.0,1.0
divide_lpres_on,padim,carpet,defocus,2,good,0,0,0.798045814037323,0.6848939657211304,0.7464535236358643
divide_lpres_on,padim,carpet,defocus,2,good,1,0,0.47389793395996094,0.6591085195541382,0.8052605390548706
divide_lpres_on,padim,carpet,defocus,2,good,2,0,0.5784173011779785,0.7193189263343811,0.7049477696418762
divide_lpres_on,padim,carpet,defocus,2,good,3,0,0.6443159580230713,0.8799768686294556,0.7444022297859192
divide_lpres_on,padim,carpet,defocus,2,good,4,0,0.7448416948318481,0.7806668877601624,1.0
divide_lpres_on,padim,carpet,defocus,2,good,5,0,0.5055015087127686,0.6302808523178101,0.9743249416351318
divide_lpres_on,padim,carpet,defocus,2,good,6,0,0.8287522792816162,0.8269393444061279,0.9917033910751343
divide_lpres_on,padim,carpet,defocus,2,good,7,0,0.7726420164108276,0.6723968982696533,0.9604568481445312
divide_lpres_on,padim,carpet,defocus,2,color,8,1,1.0,1.0,1.0
divide_lpres_on,padim,carpet,defocus,2,color,9,1,1.0,1.0,1.0
divide_lpres_on,padim,carpet,defocus,2,color,10,1,1.0,1.0,1.0
divide_lpres_on,padim,carpet,defocus,2,color,11,1,1.0,1.0,1.0
divide_lpres_on,padim,carpet,defocus,2,color,12,1,1.0,1.0,1.0
divide_lpres_on,padim,carpet,defocus,2,color,13,1,1.0,1.0,1.0
divide_lpres_on,padim,carpet,defocus,2,color,14,1,0.6828001141548157,0.7010318636894226,0.933168351650238
divide_lpres_on,padim,carpet,defocus,2,color,15,1,1.0,1.0,1.0
divide_lpres_off,padim,carpet,defocus,2,good,0,0,0.798045814037323,0.6848939657211304,0.5414249300956726
divide_lpres_off,padim,carpet,defocus,2,good,1,0,0.47389793395996094,0.6591085195541382,0.7395715713500977
divide_lpres_off,padim,carpet,defocus,2,good,2,0,0.5784173011779785,0.7193189263343811,0.679704487323761
divide_lpres_off,padim,carpet,defocus,2,good,3,0,0.6443159580230713,0.8799768686294556,0.6733514070510864
divide_lpres_off,padim,carpet,defocus,2,good,4,0,0.7448416948318481,0.7806668877601624,1.0
divide_lpres_off,padim,carpet,defocus,2,good,5,0,0.5055015087127686,0.6302808523178101,0.7717318534851074
divide_lpres_off,padim,carpet,defocus,2,good,6,0,0.8287522792816162,0.8269393444061279,0.9488277435302734
divide_lpres_off,padim,carpet,defocus,2,good,7,0,0.7726420164108276,0.6723968982696533,0.9962642192840576
divide_lpres_off,padim,carpet,defocus,2,color,8,1,1.0,1.0,1.0
divide_lpres_off,padim,carpet,defocus,2,color,9,1,1.0,1.0,1.0
divide_lpres_off,padim,carpet,defocus,2,color,10,1,1.0,1.0,0.7804327011108398
divide_lpres_off,padim,carpet,defocus,2,color,11,1,1.0,1.0,1.0
divide_lpres_off,padim,carpet,defocus,2,color,12,1,1.0,1.0,1.0
divide_lpres_off,padim,carpet,defocus,2,color,13,1,1.0,1.0,0.9570068120956421
divide_lpres_off,padim,carpet,defocus,2,color,14,1,0.6828001141548157,0.7010318636894226,0.659053385257721
divide_lpres_off,padim,carpet,defocus,2,color,15,1,1.0,1.0,1.0
identity,padim,carpet,defocus,3,good,0,0,0.798045814037323,1.0,1.0
identity,padim,carpet,defocus,3,good,1,0,0.47389793395996094,1.0,1.0
identity,padim,carpet,defocus,3,good,2,0,0.5784173011779785,1.0,1.0
identity,padim,carpet,defocus,3,good,3,0,0.6443159580230713,1.0,1.0
identity,padim,carpet,defocus,3,good,4,0,0.7448416948318481,1.0,1.0
identity,padim,carpet,defocus,3,good,5,0,0.5055015087127686,1.0,1.0
identity,padim,carpet,defocus,3,good,6,0,0.8287522792816162,1.0,1.0
identity,padim,carpet,defocus,3,good,7,0,0.7726420164108276,1.0,1.0
identity,padim,carpet,defocus,3,color,8,1,1.0,1.0,1.0
identity,padim,carpet,defocus,3,color,9,1,1.0,1.0,1.0
identity,padim,carpet,defocus,3,color,10,1,1.0,1.0,1.0
identity,padim,carpet,defocus,3,color,11,1,1.0,1.0,1.0
identity,padim,carpet,defocus,3,color,12,1,1.0,1.0,1.0
identity,padim,carpet,defocus,3,color,13,1,1.0,1.0,1.0
identity,padim,carpet,defocus,3,color,14,1,0.6828001141548157,1.0,1.0
identity,padim,carpet,defocus,3,color,15,1,1.0,1.0,1.0
wiener,padim,carpet,defocus,3,good,0,0,0.798045814037323,1.0,1.0
wiener,padim,carpet,defocus,3,good,1,0,0.47389793395996094,1.0,1.0
wiener,padim,carpet,defocus,3,good,2,0,0.5784173011779785,1.0,1.0
wiener,padim,carpet,defocus,3,good,3,0,0.6443159580230713,1.0,1.0
wiener,padim,carpet,defocus,3,good,4,0,0.7448416948318481,1.0,1.0
wiener,padim,carpet,defocus,3,good,5,0,0.5055015087127686,1.0,1.0
wiener,padim,carpet,defocus,3,good,6,0,0.8287522792816162,1.0,1.0
wiener,padim,carpet,defocus,3,good,7,0,0.7726420164108276,1.0,1.0
wiener,padim,carpet,defocus,3,color,8,1,1.0,1.0,1.0
wiener,padim,carpet,defocus,3,color,9,1,1.0,1.0,1.0
wiener,padim,carpet,defocus,3,color,10,1,1.0,1.0,1.0
wiener,padim,carpet,defocus,3,color,11,1,1.0,1.0,1.0
wiener,padim,carpet,defocus,3,color,12,1,1.0,1.0,1.0
wiener,padim,carpet,defocus,3,color,13,1,1.0,1.0,1.0
wiener,padim,carpet,defocus,3,color,14,1,0.6828001141548157,1.0,1.0
wiener,padim,carpet,defocus,3,color,15,1,1.0,1.0,1.0
restormer_deblur,padim,carpet,defocus,3,good,0,0,0.798045814037323,1.0,1.0
restormer_deblur,padim,carpet,defocus,3,good,1,0,0.47389793395996094,1.0,1.0
restormer_deblur,padim,carpet,defocus,3,good,2,0,0.5784173011779785,1.0,0.8829749822616577
restormer_deblur,padim,carpet,defocus,3,good,3,0,0.6443159580230713,1.0,1.0
restormer_deblur,padim,carpet,defocus,3,good,4,0,0.7448416948318481,1.0,0.8741046190261841
restormer_deblur,padim,carpet,defocus,3,good,5,0,0.5055015087127686,1.0,0.8372107744216919
restormer_deblur,padim,carpet,defocus,3,good,6,0,0.8287522792816162,1.0,0.9956022500991821
restormer_deblur,padim,carpet,defocus,3,good,7,0,0.7726420164108276,1.0,1.0
restormer_deblur,padim,carpet,defocus,3,color,8,1,1.0,1.0,1.0
restormer_deblur,padim,carpet,defocus,3,color,9,1,1.0,1.0,1.0
restormer_deblur,padim,carpet,defocus,3,color,10,1,1.0,1.0,1.0
restormer_deblur,padim,carpet,defocus,3,color,11,1,1.0,1.0,1.0
restormer_deblur,padim,carpet,defocus,3,color,12,1,1.0,1.0,1.0
restormer_deblur,padim,carpet,defocus,3,color,13,1,1.0,1.0,1.0
restormer_deblur,padim,carpet,defocus,3,color,14,1,0.6828001141548157,1.0,1.0
restormer_deblur,padim,carpet,defocus,3,color,15,1,1.0,1.0,1.0
