restorer,detector,gap_closed_point,ci_lo,ci_hi,excludes_zero,n_boot_valid,n_boot
divide_lpres_off,padim,-0.32663847780126853,-0.6562458066990287,-0.10084884967179601,True,2000,2000
divide_lpres_on,padim,-0.27695560253699786,-0.46910265176607113,-0.1300891890185159,True,2000,2000
identity,padim,0.0,0.0,0.0,False,2000,2000
restormer_deblur,padim,0.03382663847780126,-0.04307380171771437,0.11979723707664876,False,2000,2000
wiener,padim,-0.4408033826638478,-0.7271661964930579,-0.1888801018019419,True,2000,2000
divide_lpres_off,patchcore,0.1900369003690037,0.06745214509288727,0.30851480212886406,True,2000,2000
divide_lpres_on,patchcore,0.18911439114391146,0.08739245560456683,0.28523617295553616,True,2000,2000
identity,patchcore,0.0,0.0,0.0,False,2000,2000
restormer_deblur,patchcore,0.04428044280442804,-0.10511481878815848,0.14141009085880224,False,2000,2000
wiener,patchcore,0.08856088560885608,-0.0009452903756234679,0.17337491529349405,False,2000,2000
