restorer,detector,family,n_cells,auroc_clean,auroc_degraded,auroc_method,gap_closed_agg,pix_auroc_clean,pix_auroc_degraded,pix_auroc_method,pix_gap_closed_agg
divide_lpres_off,padim,defocus,9,0.8671875,0.7847222222222222,0.6362847222222222,-1.8,0.9701532963095926,0.9539598153007112,0.9260746356643396,-1.7220003297054112
divide_lpres_on,padim,defocus,9,0.8671875,0.7847222222222222,0.6310763888888888,-1.8631578947368423,0.9701532963095926,0.9539598153007112,0.9223151236442259,-1.9541623965304322
identity,padim,defocus,9,0.8671875,0.7847222222222222,0.7847222222222222,0.0,0.9701532963095926,0.9539598153007112,0.9539598153007112,0.0
restormer_deblur,padim,defocus,9,0.8671875,0.7847222222222222,0.8038194444444444,0.23157894736842108,0.9701532963095926,0.9539598153007112,0.9693357486171615,0.9495137770574057
wiener,padim,defocus,9,0.8671875,0.7847222222222222,0.5798611111111112,-2.4842105263157896,0.9701532963095926,0.9539598153007112,0.8517517672661271,-6.311678630340746
divide_lpres_off,padim,mixed,9,0.8671875,0.6267361111111112,0.5190972222222222,-0.4476534296028881,0.9701532963095926,0.8664323238581915,0.7638904730431505,-0.9886317915413618
divide_lpres_on,padim,mixed,9,0.8671875,0.6267361111111112,0.6380208333333334,0.04693140794223827,0.9701532963095926,0.8664323238581915,0.8605697799863736,-0.056522260958984535
identity,padim,mixed,9,0.8671875,0.6267361111111112,0.6267361111111112,0.0,0.9701532963095926,0.8664323238581915,0.8664323238581915,0.0
restormer_deblur,padim,mixed,9,0.8671875,0.6267361111111112,0.6197916666666666,-0.028880866425992777,0.9701532963095926,0.8664323238581915,0.8634436542319133,-0.02881451605824981
wiener,padim,mixed,9,0.8671875,0.6267361111111112,0.6128472222222222,-0.057761732851985555,0.9701532963095926,0.8664323238581915,0.8303055419111208,-0.3483073971756094
divide_lpres_off,padim,motion,9,0.8671875,0.6875,0.5946180555555556,-0.5169082125603864,0.9701532963095926,0.9291755343348927,0.9120815538664596,-0.41715261265335
divide_lpres_on,padim,motion,9,0.8671875,0.6875,0.6145833333333334,-0.4057971014492754,0.9701532963095926,0.9291755343348927,0.8971122094151904,-0.7824567124846542
identity,padim,motion,9,0.8671875,0.6875,0.6875,0.0,0.9701532963095926,0.9291755343348927,0.9291755343348927,0.0
restormer_deblur,padim,motion,9,0.8671875,0.6875,0.7048611111111112,0.0966183574879227,0.9701532963095926,0.9291755343348927,0.9506475794519571,0.5239926263011008
wiener,padim,motion,9,0.8671875,0.6875,0.5842013888888888,-0.5748792270531401,0.9701532963095926,0.9291755343348927,0.8552474601505478,-1.8041022891877094
divide_lpres_off,padim,noise,9,0.8671875,0.5486111111111112,0.6293402777777778,0.25340599455040874,0.9701532963095926,0.924363772743606,0.9012280580849679,-0.5052621835057477
divide_lpres_on,padim,noise,9,0.8671875,0.5486111111111112,0.5364583333333334,-0.03814713896457766,0.9701532963095926,0.924363772743606,0.9156571534226031,-0.19014435274601557
identity,padim,noise,9,0.8671875,0.5486111111111112,0.5486111111111112,0.0,0.9701532963095926,0.924363772743606,0.924363772743606,0.0
restormer_deblur,padim,noise,9,0.8671875,0.5486111111111112,0.546875,-0.005449591280653951,0.9701532963095926,0.924363772743606,0.9234223524063501,-0.020559732094594094
wiener,padim,noise,9,0.8671875,0.5486111111111112,0.5086805555555556,-0.12534059945504086,0.9701532963095926,0.924363772743606,0.9050577105600967,-0.42162618607917346
divide_lpres_off,patchcore,defocus,9,0.78125,0.5477430555555556,0.6102430555555556,0.26765799256505574,0.962917093161668,0.8099012888757028,0.9007232679039697,0.5935463951065689
divide_lpres_on,patchcore,defocus,9,0.78125,0.5477430555555556,0.6796875,0.5650557620817844,0.962917093161668,0.8099012888757028,0.9241871338065928,0.7468891560855095
identity,patchcore,defocus,9,0.78125,0.5477430555555556,0.5477430555555556,0.0,0.962917093161668,0.8099012888757028,0.8099012888757028,0.0
restormer_deblur,patchcore,defocus,9,0.78125,0.5477430555555556,0.5763888888888888,0.12267657992565055,0.962917093161668,0.8099012888757028,0.8597944242757043,0.326065242952017
wiener,patchcore,defocus,9,0.78125,0.5477430555555556,0.6649305555555556,0.5018587360594795,0.962917093161668,0.8099012888757028,0.8931336160699025,0.5439459510904501
divide_lpres_off,patchcore,mixed,9,0.78125,0.5364583333333334,0.5338541666666666,-0.010638297872340425,0.962917093161668,0.7150446134814478,0.6866218887225771,-0.11466672216108315
divide_lpres_on,patchcore,mixed,9,0.78125,0.5364583333333334,0.53125,-0.02127659574468085,0.962917093161668,0.7150446134814478,0.730543659371873,0.06252830451537243
identity,patchcore,mixed,9,0.78125,0.5364583333333334,0.5364583333333334,0.0,0.962917093161668,0.7150446134814478,0.7150446134814478,0.0
