restorer,detector,category,family,severity,n_pixel_images,pix_auroc_clean,pix_auroc_degraded,pix_auroc_method,pix_gap_closed
identity,padim,carpet,defocus,2,16,0.9805406564110745,0.994832588250716,0.994832588250716,-0.0
wiener,padim,carpet,defocus,2,16,0.9805406564110745,0.994832588250716,0.922537077763413,5.058484136257708
restormer_deblur,padim,carpet,defocus,2,16,0.9805406564110745,0.994832588250716,0.9929941110364411,0.12863741829327088
divide_lpres_on,padim,carpet,defocus,2,16,0.9805406564110745,0.994832588250716,0.9720420685003578,1.594642348289414
divide_lpres_off,padim,carpet,defocus,2,16,0.9805406564110745,0.994832588250716,0.9759765692660755,1.3193471110979977
identity,padim,carpet,defocus,3,16,0.9805406564110745,0.9632725154012816,0.9632725154012816,0.0
wiener,padim,carpet,defocus,3,16,0.9805406564110745,0.9632725154012816,0.9257547704223824,-2.1726568573665532
restormer_deblur,padim,carpet,defocus,3,16,0.9805406564110745,0.9632725154012816,0.9921462411601166,1.6720807261453645
divide_lpres_on,padim,carpet,defocus,3,16,0.9805406564110745,0.9632725154012816,0.9638154687882428,0.03144249208141656
divide_lpres_off,padim,carpet,defocus,3,16,0.9805406564110745,0.9632725154012816,0.9837554878011248,1.1861712495993137
identity,padim,carpet,defocus,4,16,0.9805406564110745,0.9305159363989463,0.9305159363989463,0.0
wiener,padim,carpet,defocus,4,16,0.9805406564110745,0.9305159363989463,0.892824686766251,-0.7534524855622816
restormer_deblur,padim,carpet,defocus,4,16,0.9805406564110745,0.9305159363989463,0.9764539392142515,0.9183060455744247
divide_lpres_on,padim,carpet,defocus,4,16,0.9805406564110745,0.9305159363989463,0.9511542865225091,0.41256303120855453
divide_lpres_off,padim,carpet,defocus,4,16,0.9805406564110745,0.9305159363989463,0.9873143440989581,1.1354068085986573
identity,padim,carpet,motion,2,16,0.9805406564110745,0.9377953390266757,0.9377953390266757,0.0
wiener,padim,carpet,motion,2,16,0.9805406564110745,0.9377953390266757,0.9121325846904654,-0.6003641078490772
restormer_deblur,padim,carpet,motion,2,16,0.9805406564110745,0.9377953390266757,0.9562226455486,0.43109532574555115
divide_lpres_on,padim,carpet,motion,2,16,0.9805406564110745,0.9377953390266757,0.9332307337042495,-0.1067860903073371
divide_lpres_off,padim,carpet,motion,2,16,0.9805406564110745,0.9377953390266757,0.9670283802797327,0.683888740143652
identity,padim,carpet,motion,3,16,0.9805406564110745,0.8882004396552748,0.8882004396552748,0.0
wiener,padim,carpet,motion,3,16,0.9805406564110745,0.8882004396552748,0.8874146976917611,-0.00850920640127721
restormer_deblur,padim,carpet,motion,3,16,0.9805406564110745,0.8882004396552748,0.9509512464072565,0.6795609644054733
