detector,category,family,severity,restorer,n,auroc_clean,auroc_degraded,auroc_method,gap_closed,n_pixel_images,pix_auroc_clean,pix_auroc_degraded,pix_auroc_method,pix_gap_closed
padim,bottle,defocus,2,divide_lpres_off,16,1.0,1.0,0.5,,16,0.9865191025913644,0.9861414324527572,0.9167875501771806,-183.6361289546461
padim,bottle,defocus,2,divide_lpres_on,16,1.0,1.0,0.5,,16,0.9865191025913644,0.9861414324527572,0.9503472993465186,-94.7761801826594
padim,bottle,defocus,2,identity,16,1.0,1.0,1.0,,16,0.9865191025913644,0.9861414324527572,0.9861414324527572,0.0
padim,bottle,defocus,2,restormer_deblur,16,1.0,1.0,0.9375,,16,0.9865191025913644,0.9861414324527572,0.9874144421387252,3.370691923546952
padim,bottle,defocus,2,wiener,16,1.0,1.0,0.5,,16,0.9865191025913644,0.9861414324527572,0.8992403825887185,-230.09775192853925
padim,bottle,defocus,3,divide_lpres_off,16,1.0,1.0,0.5,,16,0.9865191025913644,0.9847269382362044,0.886637604532302,-54.7323315640558
padim,bottle,defocus,3,divide_lpres_on,16,1.0,1.0,0.5,,16,0.9865191025913644,0.9847269382362044,0.9047036470498956,-44.651759173707056
padim,bottle,defocus,3,identity,16,1.0,1.0,1.0,,16,0.9865191025913644,0.9847269382362044,0.9847269382362044,0.0
padim,bottle,defocus,3,restormer_deblur,16,1.0,1.0,1.0,,16,0.9865191025913644,0.9847269382362044,0.9863324463360452,0.8958486955831974
padim,bottle,defocus,3,wiener,16,1.0,1.0,0.5,,16,0.9865191025913644,0.9847269382362044,0.8631719237540151,-67.82581861546592
padim,bottle,defocus,4,divide_lpres_off,16,1.0,1.0,0.5,,16,0.9865191025913644,0.9822762234080612,0.8515553167271298,-30.809481258705134
padim,bottle,defocus,4,divide_lpres_on,16,1.0,1.0,0.5,,16,0.9865191025913644,0.9822762234080612,0.8486583477811551,-31.49226500550023
padim,bottle,defocus,4,identity,16,1.0,1.0,1.0,,16,0.9865191025913644,0.9822762234080612,0.9822762234080612,0.0
padim,bottle,defocus,4,restormer_deblur,16,1.0,1.0,1.0,,16,0.9865191025913644,0.9822762234080612,0.985454316447975,0.7490416065629366
padim,bottle,defocus,4,wiener,16,1.0,1.0,0.5,,16,0.9865191025913644,0.9822762234080612,0.7611394390531345,-52.1195100782397
padim,bottle,mixed,2,divide_lpres_off,16,1.0,0.5,0.5,0.0,16,0.9865191025913644,0.9274200260512324,0.7862733848447373,-2.388305358894193
padim,bottle,mixed,2,divide_lpres_on,16,1.0,0.5,0.5,0.0,16,0.9865191025913644,0.9274200260512324,0.929763178488494,0.039647868874405
padim,bottle,mixed,2,identity,16,1.0,0.5,0.5,0.0,16,0.9865191025913644,0.9274200260512324,0.9274200260512324,0.0
padim,bottle,mixed,2,restormer_deblur,16,1.0,0.5,0.5,0.0,16,0.9865191025913644,0.9274200260512324,0.9274200260512324,0.0
padim,bottle,mixed,2,wiener,16,1.0,0.5,0.5,0.0,16,0.9865191025913644,0.9274200260512324,0.9205121902454138,-0.1168856809653839
padim,bottle,mixed,3,divide_lpres_off,16,1.0,0.5,0.5,0.0,16,0.9865191025913644,0.8628614614236786,0.7229543836213888,-1.131406652117592
padim,bottle,mixed,3,divide_lpres_on,16,1.0,0.5,0.5,0.0,16,0.9865191025913644,0.8628614614236786,0.8816028261975368,0.1515584851602016
padim,bottle,mixed,3,identity,16,1.0,0.5,0.5,0.0,16,0.9865191025913644,0.8628614614236786,0.8628614614236786,0.0
padim,bottle,mixed,3,restormer_deblur,16,1.0,0.5,0.5,0.0,16,0.9865191025913644,0.8628614614236786,0.8628614614236786,0.0
padim,bottle,mixed,3,wiener,16,1.0,0.5,0.5,0.0,16,0.9865191025913644,0.8628614614236786,0.8630769990144336,0.0017430187792658
padim,bottle,mixed,4,divide_lpres_off,16,1.0,0.5,0.5,0.0,16,0.9865191025913644,0.7665547413222394,0.6457047729524109,-0.5494070388155717
padim,bottle,mixed,4,divide_lpres_on,16,1.0,0.5,0.5,0.0,16,0.9865191025913644,0.7665547413222394,0.7665762764506073,9.7902806816695e-05
padim,bottle,mixed,4,identity,16,1.0,0.5,0.5,0.0,16,0.9865191025913644,0.7665547413222394,0.7665547413222394,0.0
padim,bottle,mixed,4,restormer_deblur,16,1.0,0.5,0.5,0.0,16,0.9865191025913644,0.7665547413222394,0.7650435818737322,-0.0068700194876492
padim,bottle,mixed,4,wiener,16,1.0,0.5,0.5,0.0,16,0.9865191025913644,0.7665547413222394,0.7485143288293349,-0.082015160950697
padim,bottle,motion,2,divide_lpres_off,16,1.0,1.0,0.5625,,16,0.9865191025913644,0.984798587392808,0.9134395229919016,-41.47540484430706
