category,image,anomaly_kind,area_frac,family,severity,restorer,tier,drr,acg,dremr,psnr_normal,psnr_full,ssim_full,psnr_degraded
carpet,0,texture,0.0123291015625,defocus,2,identity,classical,0.9295088648796082,1.0,0.0,21.42068524791039,21.4499360752465,0.6399627327919006,21.4499360752465
carpet,0,texture,0.0123291015625,defocus,2,wiener,classical,0.4297794699668884,0.048941930165170955,-1.1399218652618228,14.919033572339115,14.867242331335737,-0.01963943988084793,21.4499360752465
carpet,0,texture,0.0123291015625,defocus,2,wiener_dbde_nsr,classical,0.4297794699668884,0.048941930165170955,-1.1399218652618228,14.919033572339115,14.867242331335737,-0.01963943988084793,21.4499360752465
carpet,0,texture,0.0123291015625,defocus,2,wiener_hqs_rawpixel,classical,0.9835888147354126,0.6853276957404775,0.5268009137628754,26.747648310438773,26.78247651012128,0.9501025676727295,21.4499360752465
carpet,0,texture,0.0123291015625,defocus,2,wiener_hqs_vst,classical,0.9737573862075806,0.6787274640138156,0.5201970453244642,26.60344592705776,26.641528071455717,0.9489366412162781,21.4499360752465
carpet,0,texture,0.0123291015625,defocus,2,wiener_hqs_vst_nofloor,classical,0.7221555709838867,0.1870090460064801,-2.666431690355307,10.36097704795174,10.357620034227592,0.233570396900177,21.4499360752465
carpet,0,texture,0.0123291015625,defocus,3,identity,classical,0.896259069442749,1.0,0.0,18.964335203468163,18.99580728256529,0.2984691560268402,18.99580728256529
carpet,0,texture,0.0123291015625,defocus,3,wiener,classical,0.31008973717689514,0.012718391343645014,-0.5993924072876584,15.009208339889621,14.934563690576537,-0.21346861124038696,18.99580728256529
carpet,0,texture,0.0123291015625,defocus,3,wiener_dbde_nsr,classical,0.31008973717689514,0.012718391343645014,-0.5993924072876584,15.009208339889621,14.934563690576537,-0.21346861124038696,18.99580728256529
carpet,0,texture,0.0123291015625,defocus,3,wiener_hqs_rawpixel,classical,0.973342776298523,0.6387856498940625,0.45625189107698394,24.006039814801035,24.039150074907184,0.8633376955986023,18.99580728256529
carpet,0,texture,0.0123291015625,defocus,3,wiener_hqs_vst,classical,0.9681373238563538,0.6375596798882232,0.4509277836422648,23.926935955794264,23.962383911602462,0.8604699969291687,18.99580728256529
carpet,0,texture,0.0123291015625,defocus,3,wiener_hqs_vst_nofloor,classical,0.7387820482254028,0.15375832607579631,-1.8814831191223607,9.971943005131699,9.971392647527969,0.2107170671224594,18.99580728256529
carpet,0,texture,0.0123291015625,defocus,4,identity,classical,0.844809889793396,1.0,0.0,17.591101960312468,17.621475132747612,0.013260760344564915,17.621475132747612
carpet,0,texture,0.0123291015625,defocus,4,wiener,classical,0.12932339310646057,0.10391834147282313,-0.07679681574735264,16.939816271276875,16.75215192231401,0.15292735397815704,17.621475132747612
carpet,0,texture,0.0123291015625,defocus,4,wiener_dbde_nsr,classical,0.12932339310646057,0.10391834147282313,-0.07679681574735264,16.939816271276875,16.75215192231401,0.15292735397815704,17.621475132747612
carpet,0,texture,0.0123291015625,defocus,4,wiener_hqs_rawpixel,classical,0.9541388750076294,0.5967270131479228,0.43245074280732365,22.351552693328998,22.381593789210925,0.7620866298675537,17.621475132747612
carpet,0,texture,0.0123291015625,defocus,4,wiener_hqs_vst,classical,0.9542691707611084,0.5979009235936188,0.4319510636831986,22.34345621558817,22.375193607163865,0.7609760165214539,17.621475132747612
carpet,0,texture,0.0123291015625,defocus,4,wiener_hqs_vst_nofloor,classical,0.7482373118400574,0.15368467836698668,-1.463880245899757,9.924252865793202,9.928346878633118,0.20234137773513794,17.621475132747612
carpet,0,texture,0.0123291015625,motion,2,identity,classical,0.9095127582550049,1.0,0.0,19.88606445180497,19.916526391412525,0.4655543863773346,19.916526391412525
carpet,0,texture,0.0123291015625,motion,2,wiener,classical,0.4628094732761383,0.050235627405094505,-0.6580342591841355,15.501782524399403,15.435901870352344,0.16824543476104736,19.916526391412525
carpet,0,texture,0.0123291015625,motion,2,wiener_dbde_nsr,classical,0.4628094732761383,0.050235627405094505,-0.6580342591841355,15.501782524399403,15.435901870352344,0.16824543476104736,19.916526391412525
carpet,0,texture,0.0123291015625,motion,2,wiener_hqs_rawpixel,classical,1.002051591873169,0.6166390539396748,-0.04530791365147402,19.374229207983213,19.39289356691447,0.7072980999946594,19.916526391412525
carpet,0,texture,0.0123291015625,motion,2,wiener_hqs_vst,classical,0.9928638935089111,0.6023882143879683,-0.06330747056493902,19.1850559924086,19.19829537108043,0.69970703125,19.916526391412525
carpet,0,texture,0.0123291015625,motion,2,wiener_hqs_vst_nofloor,classical,0.5201869010925293,0.08173793745108386,-3.8603080785122668,6.841911857600445,6.8583965037074,-0.015368063934147358,19.916526391412525
carpet,0,texture,0.0123291015625,motion,3,identity,classical,0.9172256588935852,1.0,0.0,19.520933282701392,19.553132034179082,0.46031323075294495,19.553132034179082
carpet,0,texture,0.0123291015625,motion,3,wiener,classical,0.31270498037338257,0.01804720273364803,-0.8436109719077229,14.273724474233067,14.213120765327831,-0.2910499572753906,19.553132034179082
carpet,0,texture,0.0123291015625,motion,3,wiener_dbde_nsr,classical,0.31270498037338257,0.01804720273364803,-0.8436109719077229,14.273724474233067,14.213120765327831,-0.2910499572753906,19.553132034179082
carpet,0,texture,0.0123291015625,motion,3,wiener_hqs_rawpixel,classical,0.9934375882148743,0.8433953641259255,0.2453934011748352,21.69368684918599,21.72931025475536,0.7863969802856445,19.553132034179082
carpet,0,texture,0.0123291015625,motion,3,wiener_hqs_vst,classical,0.9904264211654663,0.8354347491376013,0.23449851440608926,21.55193579406795,21.587543235028875,0.7817597389221191,19.553132034179082
carpet,0,texture,0.0123291015625,motion,3,wiener_hqs_vst_nofloor,classical,0.42636558413505554,0.08406285016808068,-3.2295840886187372,7.600561961638101,7.59972776789481,0.13327641785144806,19.553132034179082
carpet,0,texture,0.0123291015625,motion,4,identity,classical,0.9055846333503723,1.0,0.0,19.635219530717496,19.665462362223725,0.4558984339237213,19.665462362223725
carpet,0,texture,0.0123291015625,motion,4,wiener,classical,0.79948490858078,0.5427175742089657,-0.41088727698589667,16.67519951752618,16.693149214071976,-0.05973926559090614,19.665462362223725
carpet,0,texture,0.0123291015625,motion,4,wiener_dbde_nsr,classical,0.9055846333503723,1.0,0.0,19.635219530717496,19.665462362223725,0.4558984339237213,19.665462362223725
carpet,0,texture,0.0123291015625,motion,4,wiener_hqs_rawpixel,classical,0.9055846333503723,1.0,0.0,19.635219530717496,19.665462362223725,0.4558984339237213,19.665462362223725
carpet,0,texture,0.0123291015625,motion,4,wiener_hqs_vst,classical,0.9055845141410828,1.0000001390967128,0.0,19.635219530717496,19.665461613260256,0.4558984339237213,19.665462362223725
carpet,0,texture,0.0123291015625,motion,4,wiener_hqs_vst_nofloor,classical,0.9055845141410828,1.0000001390967128,0.0,19.635219530717496,19.665461613260256,0.4558984339237213,19.665462362223725
carpet,1,scratch,0.001251220703125,defocus,2,identity,classical,0.454721063375473,1.0,0.0,20.817082201134255,20.809162129041713,0.6299141049385071,20.809162129041713
carpet,1,scratch,0.001251220703125,defocus,2,wiener,classical,0.01563664898276329,0.5218725083826077,-1.0860807763751907,14.593557053559254,14.591055382520373,-0.004801311995834112,20.809162129041713
