run_name : train_pcim_cpu
device   : cpu
smoke    : False
[train_pcim_cpu] loss scale factors (calibrated at step 1): {'rec': 0.2663, 'deg': 0.1527, 'freq': 0.0028, 'pres': 0.5373}
[train_pcim_cpu] step 50/15000  total=0.8782
[train_pcim_cpu] step 100/15000  total=0.8743
[train_pcim_cpu] step 150/15000  total=0.7741
[train_pcim_cpu] step 200/15000  total=0.9230
[train_pcim_cpu] step 250/15000  total=0.3179
[train_pcim_cpu] step 300/15000  total=0.5715
[train_pcim_cpu] step 350/15000  total=0.6107
[train_pcim_cpu] step 400/15000  total=0.5294  rel_drr=0.887
[train_pcim_cpu] step 450/15000  total=0.3724  rel_drr=0.887
[train_pcim_cpu] step 500/15000  total=0.2322  rel_drr=0.887
[train_pcim_cpu] step 550/15000  total=0.2287  rel_drr=0.887
[train_pcim_cpu] step 600/15000  total=0.4386  rel_drr=0.887
[train_pcim_cpu] step 650/15000  total=0.3853  rel_drr=0.887
[train_pcim_cpu] step 700/15000  total=0.4971  rel_drr=0.887
[train_pcim_cpu] step 750/15000  total=0.3645  rel_drr=0.889
[train_pcim_cpu] step 800/15000  total=0.1680  rel_drr=0.889
[train_pcim_cpu] step 850/15000  total=0.4372  rel_drr=0.889
[train_pcim_cpu] step 900/15000  total=0.2367  rel_drr=0.889
[train_pcim_cpu] step 950/15000  total=0.3246  rel_drr=0.889
[train_pcim_cpu] step 1000/15000  total=0.2074  rel_drr=0.889
[train_pcim_cpu] step 1050/15000  total=0.2708  rel_drr=0.889
[train_pcim_cpu] step 1100/15000  total=0.2921  rel_drr=0.889
[train_pcim_cpu] step 1150/15000  total=0.2945  rel_drr=0.798
[train_pcim_cpu] step 1200/15000  total=0.3375  rel_drr=0.798
[train_pcim_cpu] step 1250/15000  total=0.3060  rel_drr=0.798
[train_pcim_cpu] step 1300/15000  total=0.2058  rel_drr=0.798
[train_pcim_cpu] step 1350/15000  total=0.3636  rel_drr=0.798
[train_pcim_cpu] step 1400/15000  total=0.2609  rel_drr=0.798
[train_pcim_cpu] step 1450/15000  total=0.1879  rel_drr=0.798
[train_pcim_cpu] step 1500/15000  total=0.5016  rel_drr=0.904
[train_pcim_cpu] step 1550/15000  total=0.1913  rel_drr=0.904
[train_pcim_cpu] step 1600/15000  total=0.4510  rel_drr=0.904
[train_pcim_cpu] step 1650/15000  total=0.3320  rel_drr=0.904
[train_pcim_cpu] step 1700/15000  total=0.5684  rel_drr=0.904
